Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,Carboxylic acid,Alkyl Carbon,Allenic Carbon,Vinylic Carbon,Acetylenic Carbon,Carbonyl group. Low specificity,Carbonyl group,Carbonyl with Carbon,Carbonyl with Nitrogen,Carbonyl with Oxygen,Acyl Halide,Aldehyde,Anhydride,Amide,Amidinium,Carbamate,Carbamic ester,Carbamic acid,Carboxylate Ion,Carbonic acid or Carbonic Ester,Carbonic Acid or Carbonic Acid-Ester,Carbonic Ester,Carboxylic acid or conjugate base.,Cyanamide,Ester Also or anhydrides,Ketone,Ether,Primary or secondary amine,Enamine,Primary amine,Two primary or secondary amines,Enamine or Aniline Nitrogen,Azide group,Azide ion,Azo Nitrogen.diazene,Azoxy Nitrogen,Diazo Nitrogen,Azole,Hydrazine,Hydrazone,Imine - Schiff base,Imine - Substutuded/unsubstituted,Iminium,Imide,Dicarboximide,Dicarboxdiimide,Nitrate group,Nitrate Anion,Nitrile,Isonitrile,Nitro,Nitroso,N-oxide,Hydroxyl,Enol,Phenol,Hydroxyl acidic,Peroxide,Carbo-Thiocarboxylate,Carbo-Thioester,Thiol,Thioamide,Sulfide,Sulfinate,Sulfone,Sulfonate,Sulfonamide,Carbo-azosulfone,Sulfoxide,Sulfate,Sulfuric acid ester,Sulfamate,Sulfenic acid,Sulfenate,Trifluoro methyl,Tricloro methyl,Thiourea,Thiophenol,Urea,Lactam,Hydroxylamine,Oxime,Azide,Benzene,Morpholine,Piperidine,Pyrazole,"1,3-oxathiolan-2-one","thiete 1,1-dioxide",thieae 1-oxide,thietan,oxetane,isoxazole,"1,2,3 triazole"
SM25,11.92197625,-3.76343708,11.92197625,0.090797325,0.916766328,289.356,274.236,289.0772643,104.0,0.9,1.45,2.05,14.42443896,10.82070942,11.637206,9.577316828,6.224179755,7.707343003,4.327326285,6.009728526,2.785268074,4.174435681,1.762014145,2.797095136,-2.14,14.27293271,6.341717547,3.927906986,118.0554838,0.0,0.0,0.0,5.907179729,10.02329115,0.0,4.794537184,13.13989185,0.0,0.0,48.53093655,24.11700725,6.420821623,4.895483476,13.21233417,15.93047088,0.0,4.722094864,0.0,17.73712672,0.0,66.22712218,0.0,63.24,15.93047088,13.21233417,11.3163051,6.420821623,5.563451492,12.13273414,18.19910121,30.33183534,4.722094864,0.0,25.92004354,0.0,11.80583559,0.0,0.999776917,-0.502123961,17.31067888,0.645892778,0.0,-3.76343708,0.133333333,20.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,5.0,5.0,0.0,0.0,0.0,2.0,2.1243,76.5335,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM26,11.28234552,-3.478567177,11.28234552,0.072824074,0.822977439,227.285,214.181,227.0616143,82.0,1.266666667,1.866666667,2.4,11.31155479,8.43395807,9.250454651,6.994800481,4.544493752,6.196758978,3.212718871,5.054587059,1.801521465,3.141564801,1.166909364,2.211373617,-1.36,11.71331378,4.929027243,4.598679768,89.36333175,0.0,0.0,0.0,15.93047088,0.0,0.0,9.516632049,8.417796984,0.0,0.0,30.33183534,11.98427311,6.9237372,5.752853607,13.21233417,15.93047088,0.0,4.722094864,0.0,13.34455882,5.752853607,35.89528683,0.0,63.24,15.93047088,13.21233417,5.752853607,6.420821623,5.563451492,6.9237372,0.0,35.05393021,0.0,0.0,24.48735615,0.0,10.58042533,0.0,0.936506519,-0.625544743,9.262998053,0.406203704,1.180622166,-3.478567177,0.3,15.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,0.695,57.7495,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM27,11.84560941,-3.228312547,11.84560941,0.117662037,0.851562656,255.339,238.203,255.0929144,94.0,1.294117647,1.941176471,2.470588235,12.35552486,9.848171633,10.66466821,7.992511824,5.624826657,7.277091883,4.709992105,6.551860293,2.745453358,4.290838495,1.790512949,3.265687791,-0.91,12.54441457,4.758936428,3.523307293,102.039408,4.736862954,0.0,0.0,10.02329115,0.0,0.0,0.0,13.13989185,0.0,0.0,30.33183534,18.90801031,0.0,24.50554279,13.15465994,10.02329115,0.0,4.722094864,0.0,18.88348407,18.96661754,35.89528683,0.0,55.4,15.56221641,8.417796984,5.752853607,19.63458555,5.563451492,0.0,0.0,37.25557254,4.722094864,4.736862954,31.39736315,0.0,0.0,0.0,0.627859977,0.117662037,9.614384138,0.534831822,2.769544753,-3.228312547,0.5,17.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,5.0,5.0,0.0,1.0,1.0,2.0,0.9374,66.2925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SM28,11.34394763,-2.95380745,11.34394763,0.061918226,0.88213915,267.35,250.214,267.0929144,98.0,1.277777778,1.888888889,2.388888889,13.22576835,10.34817163,11.16466821,8.409014044,5.939704913,7.761072118,4.979360046,7.04385041,3.16866153,5.153486057,2.480362246,4.5126673,-1.36,13.08066001,4.723353624,3.100369235,107.3169494,5.316788604,0.0,9.837253136,5.907179729,0.0,0.0,4.794537184,8.417796984,0.0,0.0,30.33183534,18.40509474,6.9237372,17.04463247,13.21233417,15.74443287,0.0,5.316788604,0.0,25.3043057,11.50570721,35.89528683,0.0,63.24,15.37617839,13.21233417,17.41288694,6.420821623,11.98427311,6.9237372,0.0,30.33183534,5.316788604,0.0,22.68789525,0.0,11.16857348,2.80051233,0.603767952,-0.044717551,9.875008608,1.436967593,1.425799792,-2.95380745,0.461538462,18.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,5.0,4.0,0.0,1.0,1.0,2.0,0.9225,69.9645,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
SM29,11.28431422,-3.177025043,11.28431422,0.399380197,0.851562656,255.339,238.203,255.0929144,94.0,1.294117647,1.941176471,2.411764706,12.35552486,9.848171633,10.66466821,7.992511824,5.597953203,7.489364741,4.632955525,6.381410724,2.893664947,3.697468461,2.024330428,3.030809723,-0.91,12.54441457,4.758936428,3.523307293,102.039408,4.736862954,0.0,0.0,10.02329115,0.0,0.0,0.0,13.13989185,0.0,0.0,30.33183534,18.40509474,0.0,25.00845836,13.15465994,10.02329115,0.0,4.722094864,0.0,18.3805685,19.46953311,35.89528683,0.0,55.4,15.56221641,8.417796984,0.0,13.21376393,12.84164325,11.81922068,0.0,30.33183534,4.722094864,4.736862954,30.40078192,0.0,0.0,0.0,0.817356859,0.0,10.04996006,2.811895314,0.930364229,-3.177025043,0.5,17.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,5.0,5.0,0.0,1.0,1.0,2.0,0.9374,66.2925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SM30,12.48524014,-3.51318245,12.48524014,0.292579733,0.889708089,317.41,298.258,317.1085645,116.0,0.954545455,1.545454545,2.090909091,15.46840904,12.23492298,13.05141956,10.59768354,7.30451266,8.787675908,5.677279315,7.359681557,3.896140296,5.490649704,2.574650538,3.997914439,-1.69,15.21511819,6.201332908,3.376423262,130.73156,4.736862954,0.0,0.0,10.02329115,0.0,0.0,0.0,13.13989185,0.0,0.0,48.53093655,30.53782887,0.0,23.64817266,13.15465994,10.02329115,0.0,4.722094864,0.0,23.27605197,13.21376393,66.22712218,0.0,55.4,15.56221641,8.417796984,0.0,18.1092474,12.84164325,5.563451492,30.33183534,18.19910121,16.854829,4.736862954,33.09193696,0.0,0.292579733,0.0,0.706039672,0.0,18.53137522,1.546216852,0.845034014,-3.51318245,0.294117647,22.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,5.0,6.0,0.0,1.0,1.0,3.0,2.3667,85.0765,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SM31,11.90931422,-3.417765784,11.90931422,0.437404337,0.839786553,284.381,264.221,284.1194635,106.0,1.263157895,1.894736842,2.368421053,13.93287513,11.29538523,12.11188181,8.935887497,6.266706289,7.706769618,5.148218305,7.032771873,3.317963004,4.970362631,1.995935754,2.9456257,-0.95,14.45892526,5.582242844,3.535529421,114.2995613,4.736862954,0.0,0.0,0.0,10.20932917,0.0,0.0,0.0,17.44510784,0.0,30.33183534,18.40509474,14.09534397,18.75268918,13.15465994,10.20932917,0.0,9.027310856,0.0,18.3805685,27.30910789,35.89528683,0.0,58.64,15.74825442,8.417796984,0.0,13.21376393,12.84164325,23.96401145,0.0,30.33183534,4.722094864,4.736862954,32.96457302,0.0,0.0,0.0,0.746940193,0.0,10.04996006,1.573642763,0.874808673,-0.37659137,0.538461538,19.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,6.0,6.0,0.0,1.0,1.0,2.0,0.7842,74.0555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SM32,11.33061051,-3.110358376,11.33061051,0.214195011,0.885603381,271.407,254.271,271.0700708,94.0,1.294117647,1.941176471,2.411764706,12.35552486,9.848171633,11.48116479,7.992511824,5.597953203,8.64406528,4.632955525,7.367009284,2.893664947,5.210888467,2.024330428,4.369961673,-0.52,12.92457477,4.99930039,3.724922866,107.0489728,0.0,0.0,0.0,10.02329115,0.0,0.0,0.0,13.13989185,11.76188495,0.0,30.33183534,18.40509474,11.50570721,11.79469444,8.417796984,21.7851761,0.0,4.722094864,0.0,18.3805685,17.7614764,35.89528683,0.0,46.17,10.02329115,8.417796984,5.538925252,0.0,24.34735046,11.81922068,11.76188495,18.19910121,16.854829,0.0,25.45194169,1.792875777,0.0,0.0,1.048838341,1.763697562,10.19064673,3.029024943,0.0,-3.110358376,0.5,17.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,5.0,5.0,0.0,1.0,1.0,2.0,1.654,72.7985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SM33,12.53153644,-3.446515784,12.53153644,0.310334467,0.883512633,333.478,314.326,333.0857208,116.0,0.954545455,1.545454545,2.090909091,15.46840904,12.23492298,13.86791614,10.59768354,7.30451266,9.942376446,5.677279315,8.345280116,3.896140296,7.00406971,2.574650538,5.337066389,-1.3,15.59017835,6.442492682,3.536708945,135.7411248,0.0,0.0,0.0,10.02329115,0.0,0.0,0.0,13.13989185,11.76188495,0.0,48.53093655,30.53782887,11.50570721,10.43440873,8.417796984,21.7851761,0.0,4.722094864,0.0,23.27605197,11.50570721,66.22712218,0.0,46.17,10.02329115,8.417796984,5.538925252,4.895483476,24.34735046,5.563451492,36.02735322,24.26546827,16.854829,0.0,28.00721947,1.788066369,0.338876029,0.0,0.937521154,1.678367347,18.81274857,1.717050186,0.0,-3.446515784,0.294117647,22.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,5.0,6.0,0.0,1.0,1.0,3.0,3.0833,91.5825,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
